"Item
",Type,Requirements,Follows immediately from,Start location,End location (if different from start),Star name,"
","
"
Battlerock 3,Level,,,Fountain,,ScenarioName_BattleShipGalaxy3,,
Battlerock C,Level,Battlerock 3,,Fountain,,ScenarioName_BattleShipGalaxy4,,
Battlerock P,Level,Battlerock 1,,Fountain,,ScenarioName_BattleShipGalaxy5,,
Battlerock H,Level,Battlerock 1,,Fountain,,ScenarioName_BattleShipGalaxy6,,
Battlerock L,Level,"12 stars
Luigi letter 2",,Fountain,,ScenarioName_BattleShipGalaxy7,,
Beach Bowl 1,Level,16 stars,,Kitchen,,ScenarioName_HeavenlyBeachGalaxy1,,
Beach Bowl 2,Level,,,Kitchen,,ScenarioName_HeavenlyBeachGalaxy2,,
Beach Bowl 3,Level,,,Kitchen,,ScenarioName_HeavenlyBeachGalaxy3,,
Beach Bowl C,Level,Beach Bowl 3,,Kitchen,,ScenarioName_HeavenlyBeachGalaxy4,,
Beach Bowl P,Level,Beach Bowl 3,,Kitchen,,ScenarioName_HeavenlyBeachGalaxy5,,
Beach Bowl H,Level,Beach Bowl 2,,Kitchen,,ScenarioName_HeavenlyBeachGalaxy6,,
Ghostly 1,Level,20 stars,,Kitchen,,ScenarioName_PhantomGalaxy1,,
Ghostly 2,Level,,,Kitchen,,ScenarioName_PhantomGalaxy2,,
Ghostly 3,Level,,,Kitchen,,ScenarioName_PhantomGalaxy3,,
Ghostly C,Level,Ghostly 3,,Kitchen,,ScenarioName_PhantomGalaxy4,,
Ghostly P,Level,Ghostly 2,,Kitchen,,ScenarioName_PhantomGalaxy5,,
Ghostly H,Level,Ghostly 1,,Kitchen,,ScenarioName_PhantomGalaxy6,,
Gusty Garden 1,Level,24 stars,,Bedroom,,ScenarioName_CosmosGardenGalaxy1,,
Gusty Garden 2,Level,,,Bedroom,,ScenarioName_CosmosGardenGalaxy2,,
Gusty Garden 3,Level,,,Bedroom,,ScenarioName_CosmosGardenGalaxy3,,
Gusty Garden C,Level,Gusty Garden 3,,Bedroom,,ScenarioName_CosmosGardenGalaxy4,,
Gusty Garden P,Level,Gusty Garden 1,,Bedroom,,ScenarioName_CosmosGardenGalaxy5,,
Gusty Garden H,Level,Gusty Garden 2,,Bedroom,,ScenarioName_CosmosGardenGalaxy6,,
Freezeflame 1,Level,26 stars,,Bedroom,,ScenarioName_IceVolcanoGalaxy1,,
Freezeflame 2,Level,,,Bedroom,,ScenarioName_IceVolcanoGalaxy2,,
Freezeflame 3,Level,,,Bedroom,,ScenarioName_IceVolcanoGalaxy3,,
Freezeflame C,Level,Freezeflame 1,,Bedroom,,ScenarioName_IceVolcanoGalaxy4,,
Freezeflame P,Level,Freezeflame 1,,Bedroom,,ScenarioName_IceVolcanoGalaxy5,,
Freezeflame H,Level,26 stars,,Bedroom,,ScenarioName_IceVolcanoGalaxy6,,
Dusty Dune 1,Level,29 stars,,Bedroom,,ScenarioName_SandClockGalaxy1,,
Dusty Dune 2,Level,,,Bedroom,,ScenarioName_SandClockGalaxy2,,
Dusty Dune 3,Level,,,Bedroom,,ScenarioName_SandClockGalaxy3,,
Dusty Dune C,Level,Dusty Dune 3,,Bedroom,,ScenarioName_SandClockGalaxy4,,
Dusty Dune P,Level,Dusty Dune 2,,Bedroom,,ScenarioName_SandClockGalaxy5,,
Dusty Dune H,Level,Dusty Dune 2,,Bedroom,,ScenarioName_SandClockGalaxy6,,
Dusty Dune G,Level,Dusty Dune 1,,Bedroom,,ScenarioName_SandClockGalaxy7,,
Gold Leaf 1,Level,34 stars,,Engine Room,,ScenarioName_ReverseKingdomGalaxy1,,
Gold Leaf 2,Level,,,Engine Room,,ScenarioName_ReverseKingdomGalaxy2,,
Gold Leaf 3,Level,,,Engine Room,,ScenarioName_ReverseKingdomGalaxy3,,
Gold Leaf C,Level,Gold Leaf 3,,Engine Room,,ScenarioName_ReverseKingdomGalaxy4,,
Gold Leaf P,Level,Gold Leaf 3,,Engine Room,,ScenarioName_ReverseKingdomGalaxy5,,
Gold Leaf H,Level,Gold Leaf 1,,Engine Room,,ScenarioName_ReverseKingdomGalaxy6,,
Sea Slide 1,Level,36 stars,,Engine Room,,ScenarioName_OceanRingGalaxy1,,
Sea Slide 2,Level,,,Engine Room,,ScenarioName_OceanRingGalaxy2,,
Sea Slide 3,Level,,,Engine Room,,ScenarioName_OceanRingGalaxy3,,
Sea Slide C,Level,Sea Slide 1,,Engine Room,,ScenarioName_OceanRingGalaxy4,,
Sea Slide P,Level,Sea Slide 3,,Engine Room,,ScenarioName_OceanRingGalaxy5,,
Sea Slide H,Level,Sea Slide 2,,Engine Room,,ScenarioName_OceanRingGalaxy6,,
Toy Time 1,Level,40 stars,,Engine Room,,ScenarioName_FactoryGalaxy1,,
Toy Time 2,Level,,,Engine Room,,ScenarioName_FactoryGalaxy2,,
Toy Time 3,Level,,,Engine Room,,ScenarioName_FactoryGalaxy3,,
Toy Time C,Level,Toy Time H,,Engine Room,,ScenarioName_FactoryGalaxy4,,
Toy Time P,Level,Toy Time 2,,Engine Room,,ScenarioName_FactoryGalaxy5,,
Toy Time H,Level,Toy Time 1,,Engine Room,,ScenarioName_FactoryGalaxy6,,
Deep Dark 1,Level,46 stars,,Garden,,ScenarioName_OceanPhantomCaveGalaxy1,,
Deep Dark 2,Level,,,Garden,,ScenarioName_OceanPhantomCaveGalaxy2,,
Deep Dark 3,Level,,,Garden,,ScenarioName_OceanPhantomCaveGalaxy3,,
Deep Dark C,Level,Deep Dark 2,,Garden,,ScenarioName_OceanPhantomCaveGalaxy4,,
Deep Dark P,Level,Deep Dark 1,,Garden,,ScenarioName_OceanPhantomCaveGalaxy5,,
Deep Dark H,Level,46 stars,,Garden,,ScenarioName_OceanPhantomCaveGalaxy6,,
Dreadnought 1,Level,48 stars,,Garden,,ScenarioName_CannonFleetGalaxy1,,
Dreadnought 2,Level,,,Garden,,ScenarioName_CannonFleetGalaxy2,,
Dreadnought 3,Level,,,Garden,,ScenarioName_CannonFleetGalaxy3,,
Dreadnought C,Level,Dreadnought 3,,Garden,,ScenarioName_CannonFleetGalaxy4,,
Dreadnought P,Level,Dreadnought 2,,Garden,,ScenarioName_CannonFleetGalaxy5,,
Dreadnought H,Level,Dreadnought 2,,Garden,,ScenarioName_CannonFleetGalaxy6,,
Melty Molten 1,Level,52 stars,,Garden,,ScenarioName_HellProminenceGalaxy1,,
Melty Molten 2,Level,,,Garden,,ScenarioName_HellProminenceGalaxy2,,
Melty Molten 3,Level,,,Garden,,ScenarioName_HellProminenceGalaxy3,,
Melty Molten C,Level,Melty Molten 2,,Garden,,ScenarioName_HellProminenceGalaxy4,,
Melty Molten P,Level,Melty Molten 3,,Garden,,ScenarioName_HellProminenceGalaxy5,,
Melty Molten H,Level,52 stars,,Garden,,ScenarioName_HellProminenceGalaxy6,,
Gateway 1,Level,,,File select,,ScenarioName_HeavensDoorGalaxy1,,
Gateway P,Level,,,Gate,Observatory start,ScenarioName_HeavensDoorGalaxy2,,
Bowser Jr.'s Robot Reactor,Level,8 stars,,Terrace,,ScenarioName_TriLegLv1Galaxy1,,
Bowser's Star Reactor,Level,15 stars,,Fountain,,ScenarioName_KoopaBattleVs1Galaxy1,,
Bowser Jr.'s Airship Armada,Level,23 stars,,Kitchen,,ScenarioName_KoopaJrShipLv1Galaxy1,,
Bowser's Dark Matter Plant,Level,33 stars,,Bedroom,,ScenarioName_KoopaBattleVs2Galaxy1,,
Bowser Jr.'s Lava Reactor,Level,45 stars,,Engine Room,,ScenarioName_FloaterOtaKingGalaxy1,,
Bowser's Galaxy Reactor,Level,60 stars,"Unlock center of universe (and choose Go)
120 stars (and going to center of universe)","
",,ScenarioName_KoopaBattleVs3Galaxy1,,
Loopdeeloop,Level,5 stars,,Terrace,,ScenarioName_SurfingLv1Galaxy1,,
Flipswitch,Level,7 stars,,Terrace,,ScenarioName_FlipPanelExGalaxy1,,
Rolling Green,Level,11 stars,,Fountain,,ScenarioName_TamakoroExLv1Galaxy1,,
Hurry-Scurry,Level,18 stars,,Fountain,,ScenarioName_BreakDownPlanetGalaxy1,,
Bubble Breeze,Level,19 stars,,"Kitchen
",,ScenarioName_CubeBubbleExLv1Galaxy1,,
Sweet Sweet,Level,Feed Terrace Hungry Luma,,Terrace Hungry Luma,Observatory start,ScenarioName_BeltConveyerExGalaxy1,,
Sling Pod,Level,Feed Fountain Hungry Luma,,Fountain Hungry Luma,Observatory start,ScenarioName_CocoonExGalaxy1,,
Buoy Base 1,Level,30 stars,,Kitchen,,ScenarioName_OceanFloaterLandGalaxy1,,
Buoy Base G,Level,30 stars,,Kitchen,,ScenarioName_OceanFloaterLandGalaxy2,,
Drip Drop,Level,Feed Kitchen Hungry Luma,,Kitchen Hungry Luma,Observatory start,ScenarioName_TearDropGalaxy1,,
Boo's Boneyard,Level,Feed Gate Hungry Luma,,Gate Hungry Luma,Observatory start,ScenarioName_TeresaMario2DGalaxy1,,
Honeyclimb,Level,42 stars,,Bedroom,,ScenarioName_HoneyBeeExGalaxy1,,
Snow Cap,Level,Feed Garden Hungry Luma,,Garden Hungry Luma,Observatory start,ScenarioName_SnowCapsuleGalaxy1,,
Bonefin,Level,"55 stars
Drip Drop",,Engine Room,,ScenarioName_SkullSharkGalaxy1,,
Sand Spiral,Level,Feed Engine Room Hungry Luma,,Engine Room Hungry Luma,Observatory start,ScenarioName_TransformationExGalaxy1,,
Matter Splatter,Level,50 stars,,Garden,,ScenarioName_DarkRoomGalaxy1,,
Bigmouth,Level,Feed Bedroom Hungry Luma,,Bedroom Hungry Luma,Observatory start,ScenarioName_FishTunnelGalaxy1,,
"Rolling Gizmo
",Level,Talk to Rolling Gizmo Luma,,"Rolling Gizmo Luma
",Observatory start,ScenarioName_TamakoroExLv2Galaxy1,,
Loopdeeswoop,Level,Talk to Loopdeeswoop Luma,,Loopdeswoop Luma,Observatory start,ScenarioName_SurfingLv2Galaxy1,,
Bubble Blast,Level,Talk to Bubble Blast Luma,,Bubble Blast Luma,Observatory start,ScenarioName_CubeBubbleExLv2Galaxy1,,
Grand Finale,Level,Talk to Grand Finale Luma,,Grand Finale Luma,Observatory start,ScenarioName_PeachCastleFinalGalaxy1,,
Storybook Chapter 1,Event,17 stars,,,,,,
Storybook Chapter 2,Event,24 stars,,,,,,
Storybook Chapter 3,Event,28 stars,,,,,,
Storybook Chapter 4,Event,32 stars,,,,,,
Storybook Chapter 5,Event,40 stars,,,,,,
Storybook Chapter 6,Event,49 stars,,,,,,
Storybook Chapter 7,Event,58 stars,,,,,,
Storybook Chapter 8 and 9,Event,Bowser's Galaxy Reactor,,,,,,
